numer_sta;date;haut_sta;dd;ff;t;td;u;ww;w1;w2;n;nbas;hbas;cl;cm;ch;rr24;tn12;tn24;tx12;tx24;ht_neige;ssfrai;perssfrai;phenspe1;phenspe2;nnuage1;t_neige;etat_neige;prof_sonde;nuage_val;chasse_neige;aval_descr;aval_genre;aval_depart;aval_expo;aval_risque;dd_alti;ff_alti;ht_neige_alti;neige_fraiche;teneur_eau;grain_predom;grain_nombre;grain_diametr;homogeneite;m_vol_neige;;
07457;20161014080000;790.000000;0;0.000000;279.650000;mq;mq;0;6;4;6;6;2250;0;3;0;10.700000;mq;278.650000;mq;279.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07499;20161014060000;1025.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;/;/;/;mq;mq;mq;mq;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07590;20161014060000;1270.000000;0;0.000000;280.750000;280.300000;97;60;9;6;8;8;1750;5;/;/;33.400000;mq;277.550000;mq;281.850000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07723;20161014063000;1385.000000;0;0.000000;277.950000;275.480000;84;61;6;0;8;8;1250;5;/;/;28.000000;mq;277.550000;mq;283.950000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07876;20161014060000;1270.000000;130;7.000000;281.650000;276.080000;68;0;6;0;8;8;1750;0;3;/;8.500000;mq;276.150000;mq;282.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07898;20161014062500;1080.000000;0;0.000000;281.750000;mq;mq;60;6;0;8;6;250;6;/;/;4.000000;279.150000;mq;282.150000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07912;20161014060000;1707.000000;40;1.000000;274.150000;273.290000;94;63;7;6;8;8;450;6;3;/;3.700000;mq;273.150000;mq;275.550000;0.010000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07954;20161014055800;1107.000000;0;0.000000;280.450000;280.450000;100;61;6;0;8;8;80;6;/;/;17.600000;mq;280.450000;mq;288.050000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07484;20161014054500;1018.000000;90;4.000000;282.350000;mq;mq;63;9;6;8;8;30;6;/;/;12.200000;mq;278.950000;mq;287.450000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07697;20161014070000;1554.000000;0;0.000000;276.150000;275.720000;97;60;6;7;8;6;450;6;7;/;33.500000;mq;273.150000;mq;277.650000;0.020000;0.010000;-99;768.000000;3101.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07917;20161014060000;1281.000000;0;0.000000;280.950000;279.410000;90;95;9;6;8;8;450;9;/;/;28.200000;mq;278.550000;mq;286.650000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07945;20161014070000;1270.000000;180;14.000000;274.550000;273.390000;92;95;7;6;8;8;450;2;/;/;38.000000;mq;273.450000;mq;274.650000;0.020000;0.020000;-99;768.000000;3102.000000;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07589;20161014072000;1570.000000;0;0.000000;279.150000;mq;mq;61;9;6;8;1;250;6;7;/;34.500000;mq;276.150000;mq;285.150000;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;8;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07729;20161014060000;636.000000;mq;mq;283.850000;283.550000;98;63;6;0;5;5;450;9;/;/;13.000000;280.650000;mq;291.050000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07962;20161014055000;680.000000;0;0.000000;283.450000;283.150000;98;61;6;0;8;8;30;6;/;/;21.000000;281.250000;mq;290.950000;mq;0.000000;0.000000;-99;768.000000;3100.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07933;20161014052000;1908.000000;40;2.000000;275.950000;273.350000;83;69;7;6;8;8;800;6;/;/;13.100000;mq;273.450000;mq;279.350000;0.040000;0.020000;-99;768.000000;3102.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07457;20161014130000;790.000000;0;0.000000;281.150000;mq;mq;0;6;4;8;8;250;6;/;/;mq;mq;mq;mq;mq;0.000000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07917;20161014120000;1281.000000;0;0.000000;280.950000;279.090000;88;63;9;6;8;8;250;9;/;/;mq;mq;mq;mq;mq;0.000000;0.000000;-50;750.000000;3100.000000;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
